"tp_title","tpf_title","tcd_title","nwp_tc_id","nwp_title","val_env","automation","nwp_cmd","dmr_cmd","all_dmr_cmds","tr_count","dmr_tr_date"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SIMPL / DFC (Dynamic Frequency Control)","SIMPL Cross Products","22022421894","SIMPL Cross Warm Reset","silicon,virtual_platform","no","Covered by Reset Team","Covered by Reset Team","Covered by Reset Team","18","2026-06-25"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SIMPL / DFC (Dynamic Frequency Control)","SIMPL Fuse Verification","22022421902","SIMPL - All Fuses Verification","silicon,virtual_platform","yes","flexconPM.py","import pm.Active_PM.Power.simpl.simpl as simpl

simpl.simpl_fuses_cbb()

simpl.simpl_fuses_imh()","import pm.Active_PM.Power.simpl.simpl as simpl

simpl.simpl_fuses_cbb()

simpl.simpl_fuses_imh() | thermalManagement.py","2","2025-09-14"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SIMPL / DFC (Dynamic Frequency Control)","SIMPL Policy Verification","22022421906","SIMPL Policy 0 Verification","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p simpl -tM 60","runPmx.py -x dmr.xml -p simpl -tM 60","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy 0 | runPmx.py -x dmr.xml -p simpl -tM 60 | thermalManagement.py","27","2026-06-30"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SIMPL / DFC (Dynamic Frequency Control)","SIMPL Policy Verification","22022421909","SIMPL Policy 1 Verification","silicon,virtual_platform","yes","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy1","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy1","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy1 | thermalManagement.py","2","2025-06-20"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SIMPL / DFC (Dynamic Frequency Control)","SIMPL Policy Verification","22022421910","SIMPL Policy 2 Verification","virtual_platform","yes","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy2","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy2","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy2 | thermalManagement.py","2","2025-05-14"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SIMPL / DFC (Dynamic Frequency Control)","SIMPL Policy Verification","22022421912","SIMPL Policy 3 Verification","virtual_platform","yes","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy 3","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy 3","import pm.Active_PM.Power.simpl.simpl_pmx as simpl_pmx

simpl_pmx.py --policy 3 | thermalManagement.py","2","2025-05-14"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SIMPL / DFC (Dynamic Frequency Control)","SIMPL Policy Verification","22022421914","SIMPL Policy asymmetric workload","virtual_platform","no","runPmx.py -x dmr.xml -p simpl -tM 60","runPmx.py -x dmr.xml -p simpl -tM 60","runPmx.py -x dmr.xml -p simpl -tM 60 | thermalManagement.py","5","2026-06-25"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SVID (Serial Voltage ID)","SVID Basic functionality Verification","22022421917","SVID Basic commands functionality Verification","silicon,virtual_platform","yes","python runPmx.py -x dmr.xml -p svid -p core_power -tM 60 -M 5","python runPmx.py -x dmr.xml -p svid -tM 6 -M 3","python runPmx.py -x dmr.xml -p svid -tM 6 -M 3 | svid.py | thermalManagement.py","10","2026-05-21"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SVID (Serial Voltage ID)","SVID Basic functionality Verification","22022421920","SVID Registers Verification","silicon,virtual_platform","yes","python runPmx.py -x dmr.xml -p svid -p core_power -tM 60 -M 5","svid.py","svid.py | thermalManagement.py","2","2025-07-08"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SVID (Serial Voltage ID)","SVID Mapping/Priority Verification","22022421922","SVID Addressing Verification","silicon,virtual_platform","yes","python runPmx.py -x dmr.xml -p svid -p core_power -tM 60 -M 5","svid.py","svid.py | thermalManagement.py","2","2025-09-02"
