id,title,owner,status,reason,release,priority,tag,component,submitted_date
16018287620,[DMR-CCB] IMH-based multi-socket enabling - Globals,rrshah1,complete,,dmrhubmax-a0,1-showstopper,"fw.acode_no,fw.cbbpcode_no,fw.ltm_no,fw.mdiv_affecting,fw.mdiv_yes,fw.ocode_no,fw.primecode_affecting,fw.mcheck_yes,fw.ucode_no,DMR_SOC_CCB,fw.zcode_no,fw.pss_yes,CCB_BUG,fw.bios_yes,fw.pnp_emul_affecting,fw.acm_affecting,EC_GATE,fw.acm_commit,IMH_CONSTRUCTION,TR_WW20,OSXML_yes,fw.bios.SecurityIDE.Impact,fw.bios.security_yes,EC2_NEED_RESOLUTION,PM_VALPREP_EVAL=R,IMH1_2S_Phase1,vt.reset,PSS_US4,simics_yes,COE4PM,POC_UXI",soc.top,2022-09-20 20:26:44.843
16018484917,[DMR-CCB][DMR.Power][PnP Recovery] RCB level Clock gating granularity for MIO stack,rsiva,complete,,dmrhub-a0,2-high,"PnP,PNP_POWER,dmr_pnp_recovery,CCB_BUG,simics_no",soc.stack.uio#,2022-10-10 12:01:42.650
16018852165,DMR Hub die’s full chip SBFT strategy,bjgran,complete,,dmrhub-a0,2-high,,soc.top,2022-11-17 16:15:59.893
16019418668,[PnP] Interrupts KPI and Perf Val Criteria,kirankum,complete,,dmrhub-a0,3-medium,"PnP,PNP_PERF,fw.tcode_no,fw.ocode_no,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.simics_affecting,fw.bios_yes,fw.pnp_emul_affecting,fw.acode_no,fw.mdiv_no,fw.mcheck_no,fw.primecode_no,fw.ltm_no,fw.pss_yes,fw.s3m_no,fw.cbbpcode_no,fw.icode_no,COE4UIO_FDBK",soc.top,2023-01-16 12:55:28.347
16019648855,[DMR-CCB] HSF size reduction and associated changes,sungkwan,complete,,dmrhub-a0,2-high,"DMR_SOC_CCB,CCB_BUG,IMH_CONSTRUCTION,DMR_EC_FLP,simics_no",soc.top,2023-02-06 15:59:26.917
16020277023,[DMR-CCB][DMR.Power] Remove MIO Power Gates and have Dedicated FIVR per stack,rsiva,complete,,dmrhub-a0,2-high,"POWER_CONVERGENCE,PNP_POWER,imhd,fw.ucode_no,fw.xucode_no,fw.tcode_no,fw.pnp_emul_affecting,Sustainability,fw.acode_no,fw.cbbpcode_no,fw.ltm_no,fw.zcode_no,fw.mdiv_affecting,fw.mdiv_yes,fw.primecode_yes,fw.mcheck_no,DMR_SOC_CCB,fw.s3m_no,fw.ocode_no,fw.icode_no,fw.bios_commit,fw.bios_yes,fw.simics_yes,fw.pss_no,fw.primecode_affecting,CCB_FEATURE_INT,RECCB_NO_RELEASE_DATE,PNP_EC,CCB_BUG",soc.top,2023-04-05 09:14:00.703
16020338299,[DMR-CCB] HAMVF remap table for IOCA disable,refaber,complete,,dmrhub-a0,1-showstopper,"CCB_BUG,fw.all_other_no,simics_yes",soc.SCF_4.0#,2023-04-11 18:24:59.103
16020383179,[DMR-CCB] Isolation required between CFC domains in SCF,spmohan,complete,,dmrhub-a0,1-showstopper,"CCB_BUG,simics_no",soc.SCF_4.0#,2023-04-13 23:01:31.473
16021218441,New AIC Buttress configurations - Acc Complex Gen4 Phy,akjonnal,complete,,dmrhub-a0,1-showstopper,"CCB_BUG,DMR_SAI_PG_0P5,SECPM_CHG",soc.top,2023-07-06 13:28:48.160
16022446507,[DMR-CCB] D2D buffer sizes for 4+2,bjung,complete,,dmrhub-a0,2-high,"RTL0p8B,CCB_BUG,simics_no",soc.UXI_LinkAgent_D2D_1.0#,2023-11-03 20:30:50.787
16028202490,[DMR-CCB][DMR-SP][NEX] NEX requirement: IMH2 to support XTAL Bypass mode,cchen14,complete,,dmrhubmax-a0,2-high,"CCB_FEATURE_INT,simics_no,dmrrs_rejected",soc.top.clk,2025-08-13 12:42:20.513
18021036465,"[DMR-CCB] [Legacy] Telemetry, PECI and all management traffic via MCTP exposed via I3C and PCIe and local PCIe device",laumelis,complete,,dmrhub-a0,1-showstopper,"DMR_AF_Managability_Telemetry,SERVER_LEGACY,PRI_1,fw.pss_yes,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.tcode_no,fw.pnp_emul_no,fw.acode_no,fw.mdiv_no,IMH_CONSTRUCTION_P1,fw.mcheck_no,fw.s3m_no,CCB_LEGACY,fw.icode_no,fw.ocode_commit,fw.ltm_commit,fw.primecode_no,fw.cbbpcode_commit,fw.bios_yes,fw.bios_commit.,fw.simics_yes,tag2ca_done,RAI_TST",soc.OOBMSM 4.0#,2022-03-11 21:56:54.770
18021036490,OOB  PECI WRIAMSREx,moriol,complete,,dmrhub-a0,2-high,"DMR_AF_Managability_Telemetry,PRI_3,fw.ocode_no",soc.OOBMSM 4.0#,2022-03-11 22:05:35.563
18021105578,[DMR-CCB]  [DMR HUB Manageability] MCTP 1.0 EID Segment support with PCIe Gen6 Segment for OOB telemetry (transport),laumelis,complete,,dmrhub-a0,1-showstopper,"DMR_AF_Managability_Telemetry,PRI_0,DMR CCB REQUIRED,CCB_BUG,RECCB_NO_RELEASE_DATE,fw_bios.yes,fw.ocode_commit,RTL0p5B,simics_yes,EC2_CUTOFF",soc.OOBMSM 4.0#,2022-03-16 18:35:08.737
18027932921,"[dmrhub-a0][DMR-CCB] D2D Mainband IPs needs to support ""ResetPrep - Link_Reset"" Entry Flow",cchen14,complete,,dmrhub-a0,1-showstopper,"CCB_BUG,simics_yes",soc.UXI_LinkAgent_D2D_1.0#,2023-03-02 01:26:22.490
18028882452,[DMR-CCB][DMR-POWER][DMR D2D] Remove Support for D2D Dynamic Width Modulation,sungkwan,complete,,dmrhub-a0,2-high,"CCB_FEATURE_INT,simics_no",soc.top,2023-04-05 23:09:11.123
18029457987,[DMR-CCB] Legacy stack clocking changes for scope & complexity reduction and align with prior art,akjonnal,complete,,dmrhub-a0,2-high,"RESET,fw.all_other_no,CCB_BUG,simics_no",soc.stack.acc,2023-04-25 17:14:29.147
18030288545,[DMR-CCB] Move Uncore to MMIO and cap CR-SB - (LTM image and OCODE impact),laumelis,complete,,dmrhub-a0,2-high,"prod_arch CONFIG,soc_arch,FWonly CONFIG,SECURITY_IMPACT,IMH_CONSTRUCTION_P2,fw.pss_yes,fw.pnp_emul_no,fw.mdiv_no,DMR_AF_Managability_Telemetry,fw.simics_yes,fw.all_other_no,fw.ltm_commit,CCB_BUG,RTL0p5B,imhd_soc_construction,ISAF,BIOS_CHANGE_REQUIRED",soc.ltm,2023-05-26 15:30:50.103
18030591801,[DMR-CCB] SCF Buffer size changes for UV3,refaber,complete,,dmrhub-a0,2-high,"PNC_EC,CCB_BUG,simics_no,EC2_CUTOFF,RTL0p8A,fw.primecode_affecting,WW41'23,POC_PTP_NOHARM",soc.SCF_4.0#,2023-06-06 02:19:06.330
18032612745,HAP SCFBAR space allocation needs to be increased by 4KB,jingyuwe,complete,,dmrhub-a0,3-medium,,soc.stack.acc,2023-08-15 14:33:07.533
18033531342,"[DMR-CCB] Remove ""Pull Once"" attribute for fuses in S0 domain",rrshah1,complete,,dmrhub-a0,1-showstopper,"CCB_BUG,RTL0p8,simics_no",soc.top,2023-09-16 06:16:13.820
18035503154,HWRS Non-Sequence Blocking PUF Bring-up flow for IMH,rrshah1,complete,,dmrhub-a0,2-high,,soc.HWRS_2.0#,2023-12-06 02:29:34.157
18035616322,[DMR-CCB] D2D Stack shall enable GPSB virtual connection between OOBMSM on leaf IMH and S3M on root IMH,sungkwan,complete,,dmrhub-a0,2-high,"CCB_BUG,simics_yes",soc.fw.oCode,2023-12-11 21:16:25.103
18036819363,[DMR-CCB] [PnP Recovery] Clock gating in disabled D2Ds,bjung,complete,,dmrhub-a0,1-showstopper,"dmr_pnp_recovery,CCB_BUG,simics_no",soc.top,2024-02-07 23:00:37.573
18038439147,SPD Hang recovery updates not included in HPM HAS,ejdehaem,complete,,dmrhub-a0,3-medium,,soc.PrimeCode 2.0#,2024-05-10 16:42:24.450
18039301649,[DMR-CCB] TPM over eSPI,rrshah1,complete,,dmrhub-a0,2-high,"OEM,OKS_CAT_5,CCB_FEATURE_EXT,fw.s3m_commit,simics_yes,NO_SOC_VAL,fw.s3m_complete",soc.S3M_3.0_FW#,2024-07-18 05:07:50.757
18040617653,[DMR IMH] Multicast support from TAP2IOSFSB to MMC on config fabric for HVM time optimization,vmwong,complete,,dmrhubmax-a0,2-high,vt.dft,soc.config_fsb,2024-11-15 22:45:02.107
18040756943,[DMR-CCB][S3M][DFD] S3M visa uC observability limitation,prokita,complete,,dmrhubmax-a0,2-high,"CCB_FEATURE_INT,simics_no,vt.dfd,PSS_US3,POC_SBAS",soc.S3M_3.1#,2024-11-27 21:10:09.700
18041757597,[DMR-CCB] Disable Multicast on non VMD and non NTB ports in an MIO stack that is intended to be used by TDX Connect (MCHECK 0x180a),pwandzil,complete,,dmrhub-a0,2-high,"DMR_SEC_A0,bios fix,dmr_bios_source_ive,DMR CCB REQUIRED,dmr_bios_source_fiv,DMRD_ReviewDone,simics_yes,CCB_BUG",platform.bios,2025-03-11 14:14:37.340
18043970814,"[DMR-CCB]DMR:CPM 5p1:CPM5p1w Improve external Decompression throughput ZSTD, DEFLATE, LZ4 to 320Gbps",nlakkaku,complete,,dmrhubmax-a0,1-showstopper,"CCB_FEATURE_INT,POC_ACC_NOHARM,dmrrs_rejected",soc.CPM 5p1w#,2025-11-20 04:07:46.760
18044024580,[DMR-CCB] CPM 5p1w : Hash + Cipher (or Cipher + Hash) chaining performance doesn't meet the PRD target,acunning,complete,,dmrhubmax-a0,2-high,"CCB_FEATURE_INT,POC_PTP,dmrrs_rejected",soc.CPM 5p1w#,2025-12-10 23:36:44.650
22010402406,"[dmrhub-a0] IOHUB SOC Reset Entry Flow Changes: Warm Reset, Cold Reset, CrashLog/SWR, ADR, Flow-to-flow Cross-products,",rrshah1,complete,,dmrhub-a0,2-high,"prod_arch,fw.mcheck_no,RESET,System_Model_T4,HPAR,fw.pss_no,fw.ucode_no,fw.xucode_no,fw.ocode_yes,fw.ltm_no,fw.tcode_no,fw.pnp_emul_no,fw.acode_no,fw.cbbpcode_no,fw.mdiv_yes,fw.mdiv_affecting,PM_VALPREP_EVAL=R,DMR_SOC_CCB,fw.bios_no,fw.icode_no,fw.primecode_commit,fw.primecode_yes,fw.s3m_no,fw.zcode_no,fw.ocode_commit,fw.simics_yes",soc.top,2020-03-11 03:16:27.893
22010488806,[RDT][QoS] IO RDT / QoS support for DMR (I/O RDT with BW Shaping),rsiva,complete,,dmrhub-a0,2-high,"DMR_AF_RDT_QOS,PRI_0,PnP,PNP_PERF,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.tcode_no,fw.pnp_emul_affecting,fw.acode_no,fw.mdiv_no,fw.cbbpcode_no,fw.mcheck_no,fw.s3m_no,fw.ocode_no,fw.icode_no,fw.primecode_no,fw.pss_no,fw.bios_commit,fw.bios_yes,fw.simics_yes,fw.ltm_no",soc.HIOP_Agent_4.0_IP#,2020-03-28 04:01:23.560
22010489140,[DMR-CCB] Define Address Hashing  and Memory Address Interleaving modes for DMR,sungkwan,complete,,dmrhub-a0,1-showstopper,"PERF,SERVER_LEGACY,PnP,PNP_PERF,fw.ocode_no,fw.mdiv_affecting,fw.mdiv_yes,fw.zcode_no,fw.ucode_no,fw.xucode_no,IMH_CONSTRUCTION_P2,fw.ltm_no,fw.tcode_no,fw.pnp_emul_affecting,fw.pss_yes,fw.mcheck_yes,fw.acode_no,fw.cbbpcode_no,DMR_SOC_CCB,ARCH_PORM1_GATE,fw.bios_commit,fw.primecode_commit,fw.mcheck_commit,fw.simics_yes,fw.acm_commit,CCB_BUG,fw.bios.SecurityIDE",soc.top,2020-03-28 05:25:16.293
22010507020,Support for CA for UIO (IO/CXL/UPI) subsystem,sungkwan,complete,,dmrhub-a0,1-showstopper,"TOPO_BASELINE,SERVER_LEGACY,PNP_PERF,IMH_CONSTRUCTION_P1,fw.mdiv_affecting,fw.mdiv_yes,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.ltm_no,fw.simics_no,fw.tcode_no,fw.pnp_emul_affecting,fw.pss_yes,fw.acode_no,fw.cbbpcode_no,fw.mcheck_commit,fw.s3m_no,fw.ocode_no,fw.bios_commit,fw.icode_no,fw.bios_yes,fw.acm_affecting,fw.acm_commit,fw.primecode_yes,fw.primecode_commit",soc.top,2020-04-02 03:38:37.163
22010548634,"Dedicated + Shared buffer in router, switch, bridge, and virtualized NSIP interface up to 8VCs",dplonkar,complete,,dmrhub-a0,1-showstopper,"prod_arch CONFIG,soc_arch CONFIG,POWER_CONVERGENCE,imhd,IMH_CONSTRUCTION_P1,fw.ocode_no,fw.simics_no,fw.primecode_no,fw.pss_no,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.ltm_no,fw.tcode_no,fw.pnp_emul_no,fw.acode_no,fw.cbbpcode_no,fw.mdiv_no,fw.mcheck_no,fw.bios_no,fw.s3m_no, fw.icode_no",soc.NSP-Crux#,2020-04-13 11:01:07.997
